Name,Address,Phone,URL
Hotel Las Lajas Beach Resort,"Playa Las Lajas, Chiriquí Province, Panama",+507 6790 1972,https://laslajasbeachresort.com/
Hotel Mykonos,"Panamerican Highway km 250, Santiago de Veraguas, Panama 0923-00125",+507 9-332000,https://www.mykonospanama.com/
Hotel Coclé,"Via Interamericana, Iguana Mall, Penonomé, Coclé Province, Panama",+507 908-5039,http://www.hotelcocle.com/
Radisson Hotel Panama Canal,"Amador Avenue & Van Hook Street, Amador, Panama City, Panama 8001",+507 211-4500,https://www.choicehotels.com/panama/amador/radisson-hotels/pn011
