Name,Address,Phone,URL
Hotel Kimali Vic,"Diagonal 2 8-30 Zona 4, Coatepeque, Quetzaltenango, Guatemala",+502 7775 4982,N/A
Hotel Pension Bonifaz,"4ta Calle 10-50 Zona 1, Quetzaltenango, Guatemala",+502 7723 1100,https://hotelpensionbonifaz.com/en/
Hotel Tiosh Abaj,"Cantón Tzanjuyu, Santiago Atitlán, Sololá, Guatemala",+502 7721 7656,https://www.tioshabaj.com
Hotel Soleil La Antigua,"9a Calle Poniente Final, Salida a Ciudad Vieja, Antigua Guatemala, Sacatepéquez, Guatemala",+502 7879 4444,https://www.hotelessoleilguatemala.com/soleil_antigua/
